account_id,company_name,industry,company_size,first_touch_channel,signup_date
A1001,Tucker-Jimenez,Design & Creative Services,01-Oct,Referral,2025-07-04
A1002,Wong-Moore,Marketing Agency,Nov-25,Organic Search,2025-07-05
A1003,"Marshall, Adkins and Kim",Accounting & Finance Services,01-Oct,Organic Search,2025-07-09
A1004,"Murphy, Cox and Miller",Software Development,01-Oct,Organic Search,2025-07-09
A1005,Johnson Group,Software Development,01-Oct,Organic Search,2025-07-14
A1006,Owen PLC,IT Consulting,01-Oct,Organic Search,2025-07-18
A1007,"Lopez, Lee and Compton",Recruitment & HR Services,01-Oct,Partner Network,2025-07-23
A1008,Myers PLC,Business Consulting,01-Oct,Referral,2025-07-23
A1009,"Humphrey, Fitzgerald and White",Architecture & Engineering,01-Oct,Referral,2025-07-26
A1010,Mcdonald-Parker,Software Development,Nov-25,Organic Search,2025-07-28
A1011,Gill-Contreras,Recruitment & HR Services,Nov-25,Organic Search,2025-07-28
A1012,Lindsey-Bailey,Legal Services,01-Oct,Organic Search,2025-07-29
A1013,"Graves, Frazier and Jimenez",Recruitment & HR Services,01-Oct,Partner Network,2025-08-01
A1014,Chandler and Sons,Design & Creative Services,Nov-25,Referral,2025-08-04
A1015,Garner-Baker,Marketing Agency,01-Oct,Referral,2025-08-04
A1016,Barker Inc,Marketing Agency,01-Oct,Referral,2025-08-06
A1017,Sanchez PLC,Design & Creative Services,01-Oct,Referral,2025-08-13
A1018,"Bailey, Snyder and Bates",Software Development,01-Oct,Startup Event,2025-08-18
A1019,"Beck, Shaffer and Green",Design & Creative Services,01-Oct,Referral,2025-08-19
A1020,Robinson Group,Business Consulting,01-Oct,Referral,2025-08-20
A1021,Johnson-Berry,Digital Media & Content,01-Oct,Organic Search,2025-08-20
A1022,Brown PLC,Business Consulting,Nov-25,Partner Network,2025-08-22
A1023,Carr-Davis,Marketing Agency,01-Oct,Referral,2025-08-24
A1024,"Barnes, Holmes and Gilbert",Marketing Agency,01-Oct,Startup Event,2025-08-26
A1025,"Castro, Taylor and Davis",Accounting & Finance Services,01-Oct,Organic Search,2025-08-28
A1026,Valencia Inc,Marketing Agency,26-50,Organic Search,2025-08-29
A1027,"Bush, Alvarez and Campbell",Marketing Agency,01-Oct,Organic Search,2025-08-31
A1028,"Cox, Berry and Bradley",Marketing Agency,01-Oct,Startup Event,2025-08-31
A1029,"Parks, Brock and Ortiz",Marketing Agency,01-Oct,Startup Event,2025-09-01
A1030,Jones-Burns,IT Consulting,01-Oct,Referral,2025-09-02
A1031,Flores-Johnson,Software Development,01-Oct,Partner Network,2025-09-02
A1032,Bowman-Williams,IT Consulting,01-Oct,Referral,2025-09-03
A1033,"Williamson, Wells and Lopez",Digital Media & Content,01-Oct,Startup Event,2025-09-05
