event_id,account_id,user_id,event_type,event_date
E40001,A1001,U10001,create_project,2025-12-04
E40002,A1001,U10002,create_task,2026-02-23
E40004,A1001,U10001,create_task,2026-01-09
E40006,A1001,U10001,create_task,2026-01-22
E40008,A1001,U10002,create_task,2025-07-31
E40010,A1001,U10002,complete_task,2026-05-29
E40011,A1001,U10002,create_task,2025-08-20
E40013,A1001,U10001,complete_task,2026-01-30
E40014,A1001,U10002,create_task,2025-11-27
E40016,A1001,U10002,complete_task,2025-09-24
E40017,A1001,U10001,create_task,2026-01-16
E40019,A1001,U10002,create_task,2025-10-07
E40021,A1001,U10002,create_task,2025-12-05
E40023,A1001,U10002,complete_task,2025-12-22
E40024,A1001,U10002,create_task,2025-12-16
E40026,A1001,U10001,create_task,2025-11-26
E40028,A1001,U10001,create_task,2026-02-02
E40030,A1001,U10001,complete_task,2025-09-25
E40031,A1001,U10001,create_project,2025-07-05
E40032,A1001,U10001,create_task,2025-10-03
E40034,A1001,U10001,create_task,2025-09-05
E40036,A1001,U10001,complete_task,2025-10-30
E40037,A1001,U10002,create_task,2025-12-25
E40039,A1001,U10001,create_task,2025-11-09
E40041,A1001,U10001,create_task,2026-01-19
E40043,A1001,U10002,create_task,2026-05-18
E40045,A1001,U10001,complete_task,2025-09-28
E40046,A1001,U10001,create_task,2025-09-15
E40048,A1001,U10001,complete_task,2025-11-08
E40049,A1001,U10002,create_task,2026-04-21
E40051,A1001,U10001,complete_task,2025-11-26
E40052,A1001,U10002,create_task,2025-07-06
E40054,A1001,U10001,complete_task,2026-03-11
E40055,A1001,U10002,create_task,2025-08-15
E40057,A1001,U10001,create_task,2026-02-16
E40059,A1001,U10001,create_task,2025-11-07
E40061,A1001,U10002,complete_task,2025-12-02
E40062,A1001,U10002,create_task,2025-10-29
E40064,A1001,U10002,create_task,2025-11-22
E40066,A1001,U10001,create_project,2026-01-17
E40067,A1001,U10002,create_task,2026-01-16
E40069,A1001,U10002,create_task,2025-08-04
E40071,A1001,U10002,create_task,2026-05-19
E40073,A1001,U10002,complete_task,2025-12-25
E40074,A1001,U10001,create_task,2025-11-13
E40076,A1001,U10001,create_task,2026-03-02
E40078,A1001,U10002,complete_task,2025-07-29
E40079,A1001,U10001,create_task,2025-07-29
E40081,A1001,U10001,create_task,2026-02-02
E40083,A1001,U10002,complete_task,2025-07-29
E40084,A1001,U10001,create_task,2025-11-08
E40086,A1001,U10001,create_task,2026-04-22
E40088,A1001,U10001,create_project,2026-03-30
E40089,A1001,U10001,create_task,2025-08-12
E40091,A1001,U10001,create_task,2025-07-30
E40093,A1001,U10001,create_task,2026-02-15
E40095,A1001,U10001,create_task,2026-04-25
E40097,A1001,U10002,create_task,2026-01-03
E40099,A1001,U10002,complete_task,2025-08-28
E40100,A1001,U10001,create_task,2026-01-20
E40102,A1001,U10001,complete_task,2025-10-09
E40103,A1001,U10001,create_task,2025-12-23
E40105,A1001,U10002,create_task,2025-09-10
E40107,A1001,U10002,complete_task,2025-08-11
E40108,A1001,U10001,create_task,2025-11-13
E40110,A1001,U10001,create_task,2026-05-23
E40112,A1001,U10002,complete_task,2025-08-16
E40113,A1001,U10002,create_task,2025-10-02
E40115,A1001,U10002,create_task,2025-07-04
E40117,A1001,U10002,complete_task,2025-09-29
E40118,A1001,U10002,create_task,2025-09-26
E40120,A1001,U10001,complete_task,2025-11-30
E40121,A1001,U10001,create_task,2026-05-24
E40123,A1001,U10001,complete_task,2025-08-27
E40124,A1001,U10002,create_task,2026-03-10
E40126,A1001,U10002,create_task,2025-12-24
E40128,A1001,U10001,complete_task,2026-01-24
E40129,A1001,U10002,create_task,2025-08-07
E40131,A1001,U10001,complete_task,2026-01-16
E40132,A1001,U10002,create_task,2026-03-24
E40134,A1001,U10002,create_project,2025-07-25
E40135,A1001,U10002,create_task,2026-05-10
E40137,A1001,U10001,create_task,2025-12-23
E40139,A1001,U10002,complete_task,2026-02-12
E40140,A1001,U10002,create_task,2025-11-10
E40142,A1001,U10002,login,2025-08-16
E40143,A1001,U10001,login,2026-03-31
E40144,A1001,U10002,login,2025-12-22
E40145,A1001,U10002,login,2025-11-19
E40146,A1001,U10001,invite_user,2025-09-04
E40147,A1002,U10005,create_project,2025-10-11
E40148,A1002,U10015,create_task,2025-10-24
E40150,A1002,U10017,create_task,2025-10-13
E40152,A1002,U10009,complete_task,2026-02-12
E40153,A1002,U10004,create_task,2026-01-21
E40155,A1002,U10017,complete_task,2026-01-05
E40156,A1002,U10005,create_task,2025-07-11
E40158,A1002,U10017,create_task,2025-09-14
E40160,A1002,U10017,complete_task,2026-03-27
E40161,A1002,U10014,create_task,2025-12-26
E40163,A1002,U10012,complete_task,2026-05-06
E40164,A1002,U10013,create_task,2025-08-08
E40166,A1002,U10005,complete_task,2025-12-20
E40167,A1002,U10012,create_task,2026-02-10
E40169,A1002,U10011,complete_task,2025-12-15
E40170,A1002,U10005,create_task,2026-04-13
E40172,A1002,U10015,create_task,2025-09-02
E40174,A1002,U10007,complete_task,2026-02-14
E40175,A1002,U10015,create_task,2026-05-14
E40177,A1002,U10013,complete_task,2025-08-24
E40178,A1002,U10016,create_task,2026-01-12
E40180,A1002,U10014,complete_task,2026-03-04
E40181,A1002,U10013,create_task,2026-04-11
E40183,A1002,U10018,complete_task,2025-09-30
E40184,A1002,U10005,create_task,2026-04-20
E40186,A1002,U10012,complete_task,2025-08-04
E40187,A1002,U10013,create_task,2025-12-20
E40189,A1002,U10007,complete_task,2025-10-03
E40190,A1002,U10008,create_task,2025-12-07
E40192,A1002,U10017,complete_task,2026-05-04
E40193,A1002,U10017,create_task,2025-10-04
E40195,A1002,U10012,complete_task,2025-09-30
E40196,A1002,U10018,create_task,2025-08-17
E40198,A1002,U10009,complete_task,2026-04-30
E40199,A1002,U10017,create_task,2025-09-02
E40201,A1002,U10012,complete_task,2026-05-30
E40202,A1002,U10009,create_task,2025-08-26
E40204,A1002,U10007,complete_task,2025-11-26
