task_id,project_id,account_id,assigned_user_id,created_date,completed_date,status
T30001,P20001,A1001,U10002,2025-12-19,,In Progress
T30002,P20001,A1001,U10002,2025-11-26,,In Progress
T30003,P20001,A1001,U10002,2025-12-09,,In Progress
T30004,P20001,A1001,U10002,2025-10-05,2025-10-14,Completed
T30005,P20001,A1001,U10002,2025-12-24,2025-12-25,Completed
T30006,P20001,A1001,U10001,2025-10-31,2025-11-08,Completed
T30007,P20001,A1001,U10002,2025-10-18,,In Progress
T30008,P20001,A1001,U10002,2025-12-23,,In Progress
T30009,P20001,A1001,U10001,2025-12-17,2025-12-19,Completed
T30010,P20001,A1001,U10001,2025-10-30,,Open
T30011,P20001,A1001,U10002,2025-12-23,,Open
T30012,P20001,A1001,U10002,2025-09-19,2025-09-26,Completed
T30013,P20002,A1001,U10001,2025-10-07,,Open
T30014,P20002,A1001,U10001,2025-12-23,2026-01-10,Completed
T30015,P20002,A1001,U10001,2025-12-08,,Open
T30016,P20002,A1001,U10002,2025-10-25,,Open
T30017,P20002,A1001,U10001,2025-12-30,,In Progress
T30018,P20002,A1001,U10001,2025-12-10,2025-12-29,Completed
T30019,P20002,A1001,U10002,2025-11-30,2025-12-13,Completed
T30020,P20002,A1001,U10001,2025-10-02,2025-10-21,Completed
T30021,P20002,A1001,U10002,2025-09-28,2025-10-04,Completed
T30022,P20002,A1001,U10002,2025-12-24,,Open
T30023,P20002,A1001,U10002,2025-10-07,,In Progress
T30024,P20002,A1001,U10001,2025-12-23,2025-12-24,Completed
T30025,P20002,A1001,U10002,2025-11-22,,In Progress
T30026,P20002,A1001,U10002,2025-10-25,,In Progress
T30027,P20003,A1001,U10001,2025-10-13,,In Progress
T30028,P20003,A1001,U10002,2025-09-10,,Open
T30029,P20003,A1001,U10001,2025-10-21,2025-11-07,Completed
T30030,P20003,A1001,U10002,2025-08-27,,In Progress
T30031,P20003,A1001,U10001,2025-09-16,2025-09-25,Completed
T30032,P20003,A1001,U10002,2025-09-12,,Open
T30033,P20003,A1001,U10002,2025-10-18,2025-10-26,Completed
T30034,P20003,A1001,U10002,2025-11-23,,Open
T30035,P20003,A1001,U10002,2025-10-10,,In Progress
T30036,P20004,A1001,U10001,2026-01-18,,In Progress
T30037,P20004,A1001,U10002,2025-12-20,,Open
T30038,P20004,A1001,U10002,2026-01-07,,In Progress
T30039,P20004,A1001,U10002,2025-10-07,,Open
T30040,P20004,A1001,U10002,2025-10-12,2025-10-25,Completed
T30041,P20004,A1001,U10002,2026-01-20,2026-01-21,Completed
T30042,P20004,A1001,U10001,2025-10-30,,Open
T30043,P20004,A1001,U10001,2026-01-13,2026-02-02,Completed
T30044,P20004,A1001,U10001,2025-10-11,,Open
T30045,P20004,A1001,U10001,2025-12-23,2025-12-27,Completed
T30046,P20004,A1001,U10002,2025-10-26,,In Progress
T30047,P20004,A1001,U10001,2025-10-13,2025-10-23,Completed
T30048,P20004,A1001,U10002,2026-01-09,2026-01-16,Completed
T30049,P20004,A1001,U10001,2025-12-31,2026-01-12,Completed
T30050,P20004,A1001,U10001,2025-11-26,,Open
T30051,P20004,A1001,U10002,2025-10-13,2025-10-31,Completed
T30052,P20004,A1001,U10001,2025-12-14,2025-12-22,Completed
T30053,P20004,A1001,U10001,2025-12-14,,Open
T30054,P20005,A1001,U10002,2025-09-05,,Open
T30055,P20005,A1001,U10002,2025-08-31,2025-09-14,Completed
T30056,P20005,A1001,U10002,2025-07-23,,Open
T30057,P20006,A1002,U10005,2025-12-31,,In Progress
T30058,P20006,A1002,U10004,2026-01-20,2026-01-22,Completed
T30059,P20006,A1002,U10007,2025-12-01,2025-12-17,Completed
T30060,P20006,A1002,U10013,2026-01-14,,In Progress
T30061,P20006,A1002,U10010,2025-11-15,2025-11-26,Completed
T30062,P20006,A1002,U10014,2025-12-08,2025-12-23,Completed
T30063,P20006,A1002,U10004,2025-11-21,2025-12-09,Completed
T30064,P20006,A1002,U10015,2025-10-11,2025-10-13,Completed
T30065,P20006,A1002,U10013,2026-01-12,,In Progress
T30066,P20006,A1002,U10012,2025-12-08,2025-12-28,Completed
T30067,P20006,A1002,U10012,2026-01-04,2026-01-15,Completed
T30068,P20006,A1002,U10005,2026-01-27,2026-01-29,Completed
T30069,P20006,A1002,U10009,2026-01-20,2026-02-06,Completed
T30070,P20006,A1002,U10007,2025-11-30,2025-12-06,Completed
T30071,P20006,A1002,U10004,2025-12-04,2025-12-10,Completed
T30072,P20006,A1002,U10008,2025-12-13,2025-12-21,Completed
T30073,P20006,A1002,U10010,2025-11-21,2025-11-30,Completed
T30074,P20006,A1002,U10012,2025-11-23,2025-12-10,Completed
T30075,P20006,A1002,U10017,2025-12-23,2025-12-27,Completed
T30076,P20006,A1002,U10008,2025-12-22,2026-01-06,Completed
T30077,P20006,A1002,U10014,2026-01-19,2026-01-29,Completed
T30078,P20006,A1002,U10011,2026-02-02,2026-02-03,Completed
T30079,P20006,A1002,U10017,2025-10-16,2025-10-19,Completed
T30080,P20006,A1002,U10014,2025-12-30,2026-01-13,Completed
T30081,P20006,A1002,U10013,2025-10-13,2025-10-16,Completed
T30082,P20006,A1002,U10018,2026-02-06,2026-02-11,Completed
T30083,P20006,A1002,U10003,2025-12-06,2025-12-20,Completed
T30084,P20007,A1002,U10016,2025-10-18,,Open
T30085,P20007,A1002,U10004,2025-12-11,2025-12-17,Completed
T30086,P20007,A1002,U10017,2026-01-14,,In Progress
T30087,P20007,A1002,U10018,2026-02-11,,In Progress
T30088,P20007,A1002,U10007,2025-11-03,2025-11-23,Completed
T30089,P20007,A1002,U10016,2025-11-25,2025-11-30,Completed
T30090,P20007,A1002,U10005,2026-02-06,,Open
T30091,P20007,A1002,U10004,2026-02-14,,In Progress
T30092,P20007,A1002,U10014,2026-02-07,2026-02-15,Completed
